
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.81975E+06 1.76838      Lin-Lin
 2.9E+06     1.80904      Lin-Lin
 2.9192E+06  1.81827      Lin-Lin
 2.97298E+06 1.84482      Lin-Lin
 3E+06       1.85816      Lin-Lin
 3.08525E+06 1.90274      Lin-Lin
 3.1E+06     1.91013      Lin-Lin
 3.12187E+06 1.92205      Lin-Lin
 3.1846E+06  1.95679      Lin-Lin
 3.2E+06     1.96552      Lin-Lin
 3.2111E+06  1.9714       Lin-Lin
 3.22257E+06 1.97731      Lin-Lin
 3.3E+06     2.01769      Lin-Lin
 3.32328E+06 2.02888      Lin-Lin
 3.37016E+06 2.05169      Lin-Lin
 3.4E+06     2.06566      Lin-Lin
 3.42398E+06 2.0745       Lin-Lin
 3.5E+06     2.10298      Lin-Lin
 3.5031E+06  2.10403      Lin-Lin
 3.52469E+06 2.11032      Lin-Lin
 3.6E+06     2.12886      Lin-Lin
 3.62539E+06 2.1317       Lin-Lin
 3.7E+06     2.14036      Lin-Lin
 3.7261E+06  2.14179      Lin-Lin
 3.795E+06   2.14904      Lin-Lin
 3.8E+06     2.1497       Lin-Lin
 3.82681E+06 2.15084      Lin-Lin
 3.85361E+06 2.15207      Lin-Lin
 3.9E+06     2.155        Lin-Lin
 4E+06       2.15845      Lin-Lin
 4.05E+06    2.15945      Lin-Lin
 4.0869E+06  2.15836      Lin-Lin
 4.1E+06     2.15954      Lin-Lin
 4.12892E+06 2.15884      Lin-Lin
 4.15E+06    2.15826      Lin-Lin
 4.159E+06   2.15739      Lin-Lin
 4.2E+06     2.15616      Lin-Lin
 4.20443E+06 2.15601      Lin-Lin
 4.25E+06    2.15454      Lin-Lin
 4.3E+06     2.15225      Lin-Lin
 4.318E+06   2.15176      Lin-Lin
 4.33033E+06 2.1515       Lin-Lin
 4.35E+06    2.15101      Lin-Lin
 4.3788E+06  2.14939      Lin-Lin
 4.39872E+06 2.14797      Lin-Lin
 4.4E+06     2.14788      Lin-Lin
 4.45E+06    2.14499      Lin-Lin
 4.46208E+06 2.14442      Lin-Lin
 4.5E+06     2.14249      Lin-Lin
 4.55E+06    2.13953      Lin-Lin
 4.6E+06     2.13697      Lin-Lin
 4.65E+06    2.1339       Lin-Lin
 4.6708E+06  2.13268      Lin-Lin
 4.7E+06     2.13134      Lin-Lin
 4.75E+06    2.12807      Lin-Lin
 4.8E+06     2.12477      Lin-Lin
 4.85E+06    2.12242      Lin-Lin
 4.9E+06     2.11944      Lin-Lin
 4.96913E+06 2.11433      Lin-Lin
 5E+06       2.11265      Lin-Lin
 5.05E+06    2.10954      Lin-Lin
 5.1E+06     2.10663      Lin-Lin
 5.125E+06   2.10452      Lin-Lin
 5.15E+06    2.10257      Lin-Lin
 5.2E+06     2.0993       Lin-Lin
 5.2546E+06  2.09536      Lin-Lin
 5.3E+06     2.09169      Lin-Lin
 5.4E+06     2.08372      Lin-Lin
 5.41269E+06 2.0826       Lin-Lin
 5.5E+06     2.07593      Lin-Lin
 5.6E+06     2.06896      Lin-Lin
 5.8E+06     2.05282      Lin-Lin
 5.8384E+06  2.04944      Lin-Lin
 5.84091E+06 2.04924      Lin-Lin
 5.94597E+06 2.0404       Lin-Lin
 6E+06       2.03586      Lin-Lin
 6.08465E+06 2.02855      Lin-Lin
 6.2E+06     2.02         Lin-Lin
 6.4E+06     2.00325      Lin-Lin
 6.4223E+06  2.0012       Lin-Lin
 6.5E+06     1.99432      Lin-Lin
 6.54585E+06 1.9899       Lin-Lin
 6.6E+06     1.98586      Lin-Lin
 6.8E+06     1.97051      Lin-Lin
 7E+06       1.95346      Lin-Lin
